safebrowsing,token_count,avg_path_token,largest_path,largest_token,URL,sec_sen_word_cnt,IPaddress_presence,largest_domain,No_of_dots,host,Length_of_url,ASNno,rank_country,rank_host,path_token_count,domain_token_count,path,avg_token_length,avg_domain_token_length,Length_of_host
0,4,0,0,16,http://www.liquidgeneration.com/,0,0,16,2,www.liquidgeneration.com,32,-1,1155503,903552,0,3,/,6.5,7.333333333333333,24
0,4,0,0,11,http://www.onlineanime.org/,0,0,11,2,www.onlineanime.org,27,-1,-1,-1,0,3,/,5.25,5.666666666666667,19
0,10,5.5,8,8,http://www.ceres.dti.ne.jp/~nekoi/senno/senfirst.html,0,0,5,5,www.ceres.dti.ne.jp,53,-1,2211,26022,4,5,/~nekoi/senno/senfirst.html,4.1,3.0,19
0,5,3.0,3,6,http://www.galeon.com/kmh/,0,0,6,2,www.galeon.com,26,-1,1189,22824,1,3,/kmh/,3.8,4.0,14
0,4,0,0,11,http://www.fanworkrecs.com/,0,0,11,2,www.fanworkrecs.com,27,-1,-1,-1,0,3,/,5.25,5.666666666666667,19
0,4,0,0,10,http://www.animehouse.com/,0,0,10,2,www.animehouse.com,26,-1,-1,-1,0,3,/,5.0,5.333333333333333,18
0,8,5.666666666666667,8,8,http://www2.117.ne.jp/~mb1996ax/enadc.html,0,0,4,4,www2.117.ne.jp,42,-1,-1,841000,3,4,/~mb1996ax/enadc.html,4.0,2.75,14
0,8,5.0,8,8,http://archive.rhps.org/fritters/yui/index.html,0,0,7,3,archive.rhps.org,47,-1,-1,7664840,4,3,/fritters/yui/index.html,4.75,4.666666666666667,16
0,4,0,0,14,http://www.freecartoonsex.com/,0,0,14,2,www.freecartoonsex.com,30,-1,-1,8204421,0,3,/,6.0,6.666666666666667,22
0,4,0,0,7,http://www.cutepet.org/,0,0,7,2,www.cutepet.org,23,-1,777042,845069,0,3,/,4.25,4.333333333333333,15
0,4,0,0,14,http://www.taremeparadise.com/,0,0,14,2,www.taremeparadise.com,30,-1,-1,6133924,0,3,/,6.0,6.666666666666667,22
0,8,7.0,13,13,http://www.internetdump.com/users/pornographite/index1.html,0,0,12,3,www.internetdump.com,59,-1,-1,-1,4,3,/users/pornographite/index1.html,6.25,6.0,20
0,3,0,0,12,http://darkkaminari.net,0,0,12,1,darkkaminari.net,23,-1,-1,-1,0,2,,6.333333333333333,7.5,16
0,7,5.0,7,7,http://www.iei.net/~bkos1/velneko.htm,0,0,3,3,www.iei.net,37,-1,-1,-1,3,3,/~bkos1/velneko.htm,4.0,3.0,11
0,6,7.5,9,9,http://www9.kinghost.com/fetish/hentaibee/,0,0,8,2,www9.kinghost.com,42,-1,5085,48701,2,3,/fetish/hentaibee/,5.666666666666667,5.0,17
0,4,0,0,11,http://www.jasonmeador.com/,0,0,11,2,www.jasonmeador.com,27,-1,-1,-1,0,3,/,5.25,5.666666666666667,19
0,7,6.666666666666667,11,11,http://www.geocities.com/kaseychan17/index.html,0,0,9,3,www.geocities.com,47,-1,148034,197275,3,3,/kaseychan17/index.html,5.571428571428571,5.0,17
0,8,7.0,12,12,http://www.angelfire.com/journal/coldlemonade/index.html,0,0,9,3,www.angelfire.com,56,-1,6176,9770,4,3,/journal/coldlemonade/index.html,5.875,5.0,17
0,13,3.0,3,8,http://e.webring.com/hub?sid=&amp;ring=hentff98&amp;id=&amp;list,0,0,7,2,e.webring.com,64,-1,140233,356809,1,3,/hub,3.6923076923076925,3.6666666666666665,13
0,3,0,0,10,http://srfestival.com/,0,0,10,1,srfestival.com,22,-1,293054,1607890,0,2,/,5.666666666666667,6.5,14
0,4,0,0,4,http://www.asf.net/,0,0,3,2,www.asf.net,19,-1,327760,1469265,0,3,/,3.25,3.0,11
0,4,0,0,19,http://www.sherwoodforestfaire.com/,0,0,19,2,www.sherwoodforestfaire.com,35,-1,325776,1533371,0,3,/,7.25,8.333333333333334,27
0,4,0,0,10,http://www.shrewfaire.com/,0,0,10,2,www.shrewfaire.com,26,-1,-1,10513417,0,3,/,5.0,5.333333333333333,18
0,4,0,0,10,http://www.texrenfest.com/,0,0,10,2,www.texrenfest.com,26,-1,662686,505119,0,3,/,5.0,5.333333333333333,18
0,4,0,0,9,http://www.vtrenfest.com/,0,0,9,2,www.vtrenfest.com,25,-1,-1,-1,0,3,/,4.75,5.0,17
0,3,0,0,16,http://cinemasightlines.com/,0,0,16,1,cinemasightlines.com,28,-1,-1,-1,0,2,/,7.666666666666667,9.5,20
0,4,0,0,12,http://www.inthebackrow.com/,0,0,12,2,www.inthebackrow.com,28,-1,-1,-1,0,3,/,5.5,6.0,20
0,5,0,0,23,http://www.madcornishprojectionist.co.uk/,0,0,23,3,www.madcornishprojectionist.co.uk,41,-1,-1,2680866,0,4,/,6.8,7.5,33
0,7,6.0,10,10,http://webspace.webring.com/people/sm/moviesneak/,0,0,8,2,webspace.webring.com,49,-1,140233,356809,3,3,/people/sm/moviesneak/,5.714285714285714,6.0,20
